PL_Index,nu_syn,LP_Index,Pivot_Energy,Frac_Variability,Variability_Index,nuFnu_syn
2.4167426,30.871544,2.3195775,6.5467563,0.33871204,3.6016695,-26.181253
2.0419457,38.810085,2.0345495,8.121609,0.29524654,2.758398,-26.836428
2.1863697,30.09612,2.122619,6.8093786,1.0831685,8.678073,-24.676725
2.2323818,29.78927,2.1259036,6.427543,0.6894232,7.465449,-25.44957
2.1137657,33.046555,2.0672827,7.537567,0.24841096,3.0494103,-26.701672
2.2972975,32.211952,2.3070908,7.4029655,0.36170235,3.0841537,-26.837963
2.4046767,29.463295,2.3005674,6.2093544,1.5702419,7.5502963,-27.055092
2.1310213,33.046555,2.0616257,6.953026,0.43956512,4.602635,-25.944008
2.4792886,29.620207,2.4436107,6.6149244,1.157777,6.0550976,-27.176025
1.4860786,32.737324,1.4917786,9.651591,0.0,2.666828,-27.448494
2.480364,30.805262,2.469712,6.878051,0.96936166,5.380234,-27.218554
2.1177993,31.339966,1.9549892,7.409333,0.43281206,3.5766687,-26.845053
2.4832556,29.145739,2.4715862,7.0620613,0.77056944,4.8098903,-27.392311
1.8906709,30.976854,1.8951366,8.163336,0.4208009,3.3526342,-27.449545
2.0993395,27.631021,2.077764,7.9891367,0.0,2.3469975,-27.631021
1.9548452,32.018444,1.7919542,7.2944,0.29955432,4.4959645,-26.773247
2.5892851,27.631021,2.561333,6.7511954,0.55186373,3.74045,-27.631021
2.3681312,29.924818,2.3462827,7.0070243,0.7540624,4.9330244,-25.956266
2.069559,27.631021,2.0808864,7.9472766,0.22696751,2.755375,-27.631021
1.9289794,36.51914,1.6288041,8.161832,0.64496166,3.886082,-26.384464
1.9533931,34.884872,1.8811585,7.7982144,0.43435025,3.3082519,-27.00578
2.485549,30.039389,2.447011,6.369626,0.37055287,4.934353,-26.636333
2.5909972,28.903698,2.5885165,6.9496737,0.52020544,3.9820251,-27.31822
2.5666068,34.158012,2.5530343,6.8240805,0.44811314,2.871675,-27.284296
2.3298101,29.740551,2.1318674,6.870063,0.52926606,3.7802129,-27.33307
2.7712455,29.163746,2.7536228,6.2664924,0.17746015,2.7824254,-26.955385
1.9854504,35.46021,1.7887954,7.9344597,0.7862612,4.334838,-26.612173
